time, id1, id2, amount, message
11/2/2016 9:49,49466,6989,25.32, Spam 
11/2/2016 9:49,47424,5995,19.45, Food for ???? ???? 
11/2/2016 9:49,76352,64866,14.99, Clothing 
11/2/2016 9:49,20449,1552,13.48, LoveWins 
11/2/2016 9:49,48676,19395,29.94, Jeffs still fat 
11/2/2016 9:49,28505,45177,19.01, ???????????????????? 
11/2/2016 9:49,56157,16725,4.85,5
11/2/2016 9:49,66543,8306,10.64, Boooooz 
11/2/2016 9:49,25036,24692,20.42, Electric 
11/2/2016 9:49,68290,66022,27.9, Getting rolled by the tide 
11/2/2016 9:49,56275,5637,42.18, Glaciers are NEAT 
11/2/2016 9:49,23286,5448,45.92, ???????????? 
11/2/2016 9:49,70230,59830,19.33, Kale Salad 
11/2/2016 9:49,42016,9013,19.19, 1????????????1???????????? 
11/2/2016 9:49,50734,2942,29.2, ???????????? 
11/2/2016 9:49,39909,3940,31.2, ???? 
11/2/2016 9:49,63967,3197,38.09, Diner 
11/2/2016 9:49,8665,5524,15.45, condoms 
11/2/2016 9:49,20762,13233,25.06, Titos 
11/2/2016 9:49,6681,49196,19.75, Seafood and ???? 
11/2/2016 9:49,33114,33106,17.77, Wigglytuff 
11/2/2016 9:49,34424,2844,20.76, ???????? 
11/2/2016 9:49,35149,24068,11.62, Dumplings 
11/2/2016 9:49,68884,26032,44.7, The good time last night ;) 
11/2/2016 9:49,11102,3827,24.78, Open Champ 3rd ???????? 
11/2/2016 9:49,36020,3081,17.78, For expenses on splitwise.com 
11/2/2016 9:49,12506,24675,18.82, Gimme duh money already geez 
11/2/2016 9:49,66750,21442,22.46, ???? 
11/2/2016 9:49,42252,32471,36.48, Tommy's 
11/2/2016 9:49,31481,47752,23.37, Inviting me to party then making me pay for it 
11/2/2016 9:49,11594,37307,35.86, Sugar momma fees 
11/2/2016 9:49,51136,6301,19.15, The difference 
11/2/2016 9:49,37017,25704,15.77, ??????? 
11/2/2016 9:49,12383,28745,13.14, For the small boo 2 
11/2/2016 9:49,33956,26402,13.54, ???? 
11/2/2016 9:49,18897,49479,11.47, ???? 
11/2/2016 9:49,13035,1065,28.2, Paq loss ???????? 
11/2/2016 9:49,70365,30037,30.54, Kal birthday 
11/2/2016 9:49,40773,8755,20.41, ???? 
11/2/2016 9:49,16884,26870,15.93, I scream you scream we both scream for ???? 
11/2/2016 9:49,29298,19054,16.97, You told me to do this for the Sunkist ???? 
11/2/2016 9:49,62440,20971,26.27, ASDRUBALLLLL 
11/2/2016 9:49,20479,6280,11.28, Spooky spectre 
11/2/2016 9:49,68081,23982,34.52, Lemonade and apple cider 
11/2/2016 9:49,51848,8336,15.23, Happy hour 
11/2/2016 9:49,11220,56681,44.29, ?????????????????? 
11/2/2016 9:49,34861,18825,22, Milk & Hops???? 
11/2/2016 9:49,72631,38163,16.92, ???????? 
11/2/2016 9:49,20126,734,13.8, Clint and Jens gift 
11/2/2016 9:49,58443,7988,46.54, ???? 
11/2/2016 9:49,71076,32313,17.8, Hotdog 
11/2/2016 9:49,23,1118,8.9, Tha ca$h money baby! ???????????? 
11/2/2016 9:49,3386,34794,1.02, Classy af ???? 
11/2/2016 9:49,59133,12694,19.07, Cleaning my ????. ???? 
11/2/2016 9:49,765,28688,28.6, for Pho goodness and gas in Buffalo 
11/2/2016 9:49,31891,2485,18.76, Versace 
11/2/2016 9:49,30476,35451,15.08, Return 
11/2/2016 9:49,6888,3882,16.59, ???? 
11/2/2016 9:49,13980,225,25.4, Small proof 
11/2/2016 9:49,71320,33082,22.48, Cinderella's 
11/2/2016 9:49,64872,18543,30.13, ???????????? 
11/2/2016 9:49,34180,61438,19.31, Billzzz 
11/2/2016 9:49,31312,8880,28.93, I dunno 
11/2/2016 9:49,40936,4679,17.95, ???? 
11/2/2016 9:49,54962,26637,24.99, Condom 
11/2/2016 9:49,16399,8325,16.5, ???? 
11/2/2016 9:49,28428,4805,1.54, ???? 
11/2/2016 9:49,58547,69773,14.55, ???????? 
11/2/2016 9:49,48474,42795,19.97, for WiFi 
11/2/2016 9:49,46141,13612,19.47, ???????????????????????????? 
11/2/2016 9:49,32913,6610,21.81, Dresser 
11/2/2016 9:49,24200,1319,20.16, Rent 
11/2/2016 9:49,68371,5104,23.37, ???? 
11/2/2016 9:49,68533,25174,17.9, U31 
11/2/2016 9:49,64969,63204,7.12, Fishies 
11/2/2016 9:49,15736,10650,16.79, Drawing 
11/2/2016 9:49,15202,47048,18.79, for best meal ever 
11/2/2016 9:49,8918,43245,24.55, Cab 
11/2/2016 9:49,39667,61459,25.58, ???? 
